global_index,gene_symbol,in_vcc_output,go_terms,reactome_pathways,string_degree,grn_out_degree,grn_in_degree,active_prior_count
11964,GRM5,1,58,3,64,0,0,3
11965,LGALS9,1,64,1,50,0,3,4
11966,CPLX1,1,26,6,49,0,0,3
11967,PXDC1,1,1,0,11,0,0,2
11968,SIGLEC7,1,7,1,34,0,0,3
11969,NTSR2,1,8,2,38,0,0,3
11970,E2F6,1,22,2,51,40,2,4
11971,FEM1B,1,16,1,44,0,0,3
11972,COMMD8,1,11,1,80,0,0,3
11973,ATP5ME,1,11,2,43,0,0,3
11974,UQCRFS1,1,15,2,130,0,1,4
11975,SLC49A3,1,4,0,10,0,0,2
11976,COL4A3,1,21,14,46,0,3,4
11977,MAP2K1,1,78,15,88,0,18,4
11978,KLK7,1,15,2,35,0,0,3
11979,IRS1,1,37,18,86,0,11,4
11980,MECP2,1,43,0,104,34,6,3
11981,VCX3A,1,3,0,23,0,0,2
11982,UPF3A,1,16,2,35,0,0,3
11983,ZBBX,1,0,0,22,0,0,1
11984,ACTBL2,1,17,0,37,0,1,3
11985,ROR2,1,15,2,33,0,2,4
11986,AR,1,62,6,136,437,83,4
11987,DHRSX,1,10,1,32,0,0,3
11988,VXN,1,5,0,3,0,0,2
11989,HSPBAP1,1,5,0,28,0,0,2
11990,ASMTL,1,8,0,33,0,0,2
11991,SLC25A6,1,12,5,47,0,3,4
11992,CHST14,1,11,2,38,0,0,3
11993,PARM1,1,7,0,5,0,0,2
11994,CSNK1G1,1,11,0,15,0,0,2
11995,FAM110B,1,5,0,27,0,0,2
11996,ARMC4,1,10,0,55,0,0,2
11997,AFAP1L2,1,11,0,15,0,0,2
11998,ZNF354A,1,8,2,28,0,0,3
11999,ATF5,1,31,2,35,26,5,4
12000,UBE2V2,1,15,7,60,0,0,3
12001,GOT1L1,1,8,0,73,0,0,2
12002,ZBTB43,1,8,0,9,0,0,2
12003,CPT1C,1,15,0,35,0,0,2
12004,PCSK9,1,53,4,45,0,9,4
12005,XPO6,1,11,0,35,0,0,2
12006,GSG1L,1,11,0,25,0,0,2
12007,MN1,1,6,0,33,0,0,2
12008,APEX2,1,17,1,33,0,0,3
12009,NSMCE1,1,16,1,47,0,1,4
12010,CCDC126,1,2,0,20,0,0,2
12011,IL13,1,47,3,101,0,45,4
12012,OR10G3,1,7,2,25,0,0,3
12013,RAB3B,1,23,1,35,0,2,4
12014,OR6F1,1,6,2,27,0,0,3
12015,CD2BP2,1,11,1,40,0,0,3
12016,RSPO1,1,11,1,45,0,0,3
12017,RGS14,1,43,1,39,0,1,4
12018,TBC1D10B,1,7,1,33,0,0,3
12019,LMAN2,1,18,2,38,0,0,3
12020,GCSAML,1,3,0,9,0,0,2
12021,RAB24,1,23,2,33,0,0,3
12022,PRELID1,1,16,2,29,0,0,3
12023,THBS3,1,10,1,40,0,0,3
12024,CA5B,1,6,1,22,0,0,3
12025,SLC50A1,1,11,1,11,0,0,3
12026,EFNA1,1,23,3,39,0,4,4
12027,CXCL10,1,47,3,97,0,17,4
12028,SH3TC2,1,7,0,37,0,0,2
12029,CXCL11,1,20,2,60,0,12,4
12030,ZRSR2,1,15,1,52,0,0,3
12031,NMD3,1,11,0,54,0,0,2
12032,ADRB2,1,48,5,53,0,5,4
12033,B3GALNT1,1,9,1,25,0,0,3
12034,GPRIN1,1,5,1,22,0,0,3
