term_index,term_id
713,R-HSA-3769402
714,R-HSA-3772470
715,R-HSA-3785653
716,R-HSA-379397
717,R-HSA-379398
718,R-HSA-379401
719,R-HSA-379716
720,R-HSA-379726
721,R-HSA-380095
722,R-HSA-380108
723,R-HSA-380259
724,R-HSA-380270
725,R-HSA-380284
726,R-HSA-380320
727,R-HSA-380612
728,R-HSA-380615
729,R-HSA-380972
730,R-HSA-380994
731,R-HSA-381033
732,R-HSA-381038
733,R-HSA-381042
734,R-HSA-381070
735,R-HSA-381183
736,R-HSA-381340
737,R-HSA-381426
738,R-HSA-3814836
739,R-HSA-381676
740,R-HSA-381753
741,R-HSA-381771
742,R-HSA-382556
743,R-HSA-3828062
744,R-HSA-383280
745,R-HSA-3858516
746,R-HSA-3878781
747,R-HSA-388479
748,R-HSA-388844
749,R-HSA-389356
750,R-HSA-389357
751,R-HSA-389359
752,R-HSA-389397
753,R-HSA-389513
754,R-HSA-389542
755,R-HSA-389599
756,R-HSA-389661
757,R-HSA-389887
758,R-HSA-3899300
759,R-HSA-389948
760,R-HSA-389957
761,R-HSA-389960
762,R-HSA-389977
763,R-HSA-390247
764,R-HSA-390450
765,R-HSA-390471
766,R-HSA-390522
767,R-HSA-390648
768,R-HSA-390650
769,R-HSA-390651
770,R-HSA-390666
771,R-HSA-390696
772,R-HSA-390918
773,R-HSA-391160
774,R-HSA-391903
775,R-HSA-391906
776,R-HSA-391908
777,R-HSA-392023
778,R-HSA-392154
779,R-HSA-392170
780,R-HSA-392451
781,R-HSA-392517
782,R-HSA-392851
783,R-HSA-3928662
784,R-HSA-3928663
785,R-HSA-3928664
786,R-HSA-3928665
787,R-HSA-399710
788,R-HSA-399719
789,R-HSA-399954
790,R-HSA-399955
791,R-HSA-399956
792,R-HSA-399997
793,R-HSA-400042
794,R-HSA-400206
795,R-HSA-400511
796,R-HSA-4043911
797,R-HSA-4043916
798,R-HSA-4085001
799,R-HSA-4085011
800,R-HSA-4085023
801,R-HSA-4085377
802,R-HSA-4086398
803,R-HSA-4086400
804,R-HSA-4090294
805,R-HSA-416476
806,R-HSA-416482
807,R-HSA-416550
808,R-HSA-416572
809,R-HSA-416700
810,R-HSA-416993
811,R-HSA-417957
812,R-HSA-417973
813,R-HSA-418217
814,R-HSA-418346
815,R-HSA-418359
816,R-HSA-418457
817,R-HSA-418555
818,R-HSA-418592
819,R-HSA-418594
820,R-HSA-418597
821,R-HSA-418885
822,R-HSA-418886
823,R-HSA-418889
824,R-HSA-418890
825,R-HSA-418990
826,R-HSA-419037
827,R-HSA-419408
828,R-HSA-419771
829,R-HSA-419812
830,R-HSA-420029
831,R-HSA-420092
832,R-HSA-420499
833,R-HSA-420597
834,R-HSA-422085
835,R-HSA-422356
836,R-HSA-425381
837,R-HSA-425397
838,R-HSA-425410
839,R-HSA-425561
840,R-HSA-425986
841,R-HSA-426048
842,R-HSA-426117
843,R-HSA-426486
844,R-HSA-426496
845,R-HSA-427359
846,R-HSA-427389
847,R-HSA-427413
848,R-HSA-427589
849,R-HSA-427601
850,R-HSA-427652
851,R-HSA-427975
852,R-HSA-428359
853,R-HSA-428540
854,R-HSA-428542
855,R-HSA-428543
856,R-HSA-428559
857,R-HSA-428643
858,R-HSA-428890
859,R-HSA-428930
860,R-HSA-429593
861,R-HSA-429947
862,R-HSA-429958
863,R-HSA-430039
864,R-HSA-430116
865,R-HSA-432030
866,R-HSA-432040
867,R-HSA-432047
868,R-HSA-432142
869,R-HSA-432720
870,R-HSA-432722
871,R-HSA-433137
872,R-HSA-433692
873,R-HSA-4341670
874,R-HSA-434313
875,R-HSA-434316
876,R-HSA-435368
877,R-HSA-437239
878,R-HSA-438066
879,R-HSA-4411364
880,R-HSA-4419969
881,R-HSA-4420097
882,R-HSA-4420332
883,R-HSA-442380
884,R-HSA-442660
885,R-HSA-442720
886,R-HSA-442729
887,R-HSA-442742
888,R-HSA-442982
889,R-HSA-444209
890,R-HSA-444257
891,R-HSA-444411
892,R-HSA-444473
893,R-HSA-444821
894,R-HSA-445095
895,R-HSA-445144
896,R-HSA-445355
897,R-HSA-445989
898,R-HSA-446107
899,R-HSA-446193
900,R-HSA-446199
901,R-HSA-446203
902,R-HSA-446205
903,R-HSA-446210
904,R-HSA-446343
905,R-HSA-446353
906,R-HSA-446388
907,R-HSA-447038
908,R-HSA-447041
909,R-HSA-447043
910,R-HSA-448424
911,R-HSA-448706
912,R-HSA-449836
913,R-HSA-450302
914,R-HSA-450321
915,R-HSA-450341
916,R-HSA-450385
917,R-HSA-450408
918,R-HSA-450513
919,R-HSA-450520
920,R-HSA-450604
921,R-HSA-451307
922,R-HSA-451308
923,R-HSA-451927
924,R-HSA-452723
925,R-HSA-4549349
926,R-HSA-4549356
927,R-HSA-4549380
928,R-HSA-4551295
929,R-HSA-4551638
930,R-HSA-456926
931,R-HSA-4570464
932,R-HSA-4570571
933,R-HSA-4608870
934,R-HSA-4615885
935,R-HSA-4641257
936,R-HSA-4641258
937,R-HSA-4641262
938,R-HSA-4641263
939,R-HSA-4641265
940,R-HSA-4655427
941,R-HSA-4687000
942,R-HSA-4717374
943,R-HSA-4719360
944,R-HSA-4719377
945,R-HSA-4720454
946,R-HSA-4720475
947,R-HSA-4720489
948,R-HSA-4724289
949,R-HSA-4724325
950,R-HSA-4755510
951,R-HSA-4755579
952,R-HSA-4755583
953,R-HSA-4755609
954,R-HSA-4793950
955,R-HSA-4793952
956,R-HSA-4793953
957,R-HSA-4793954
958,R-HSA-480985
959,R-HSA-499943
960,R-HSA-500657
961,R-HSA-500753
962,R-HSA-5083625
963,R-HSA-5083627
964,R-HSA-5083628
965,R-HSA-5083629
966,R-HSA-5083630
967,R-HSA-5083632
968,R-HSA-5083633
969,R-HSA-5083635
970,R-HSA-5083636
971,R-HSA-5099900
972,R-HSA-512988
973,R-HSA-5140745
974,R-HSA-5173105
975,R-HSA-5173214
976,R-HSA-5205685
977,R-HSA-5210891
978,R-HSA-5213460
979,R-HSA-5218900
980,R-HSA-5218920
981,R-HSA-5218921
982,R-HSA-5221030
983,R-HSA-5223345
984,R-HSA-5250924
985,R-HSA-5250955
986,R-HSA-5250958
987,R-HSA-5250968
988,R-HSA-5250971
989,R-HSA-5250981
990,R-HSA-5250982
991,R-HSA-5250989
992,R-HSA-5250992
993,R-HSA-525793
994,R-HSA-5263617
995,R-HSA-532668
996,R-HSA-5334118
997,R-HSA-5336415
998,R-HSA-5339700
999,R-HSA-5339716
1000,R-HSA-5339717
1001,R-HSA-5340573
1002,R-HSA-5340588
1003,R-HSA-5357609
1004,R-HSA-5357786
1005,R-HSA-5357905
1006,R-HSA-5357956
1007,R-HSA-5358346
1008,R-HSA-5358493
1009,R-HSA-5358565
1010,R-HSA-5358606
1011,R-HSA-5358747
1012,R-HSA-5358749
1013,R-HSA-5358751
1014,R-HSA-5358752
1015,R-HSA-5362517
1016,R-HSA-5362768
1017,R-HSA-5362798
1018,R-HSA-5365859
1019,R-HSA-5368286
1020,R-HSA-5368598
1021,R-HSA-5389840
1022,R-HSA-5419276
1023,R-HSA-5423646
1024,R-HSA-5467333
1025,R-HSA-5467337
1026,R-HSA-5467340
1027,R-HSA-5467348
1028,R-HSA-549127
1029,R-HSA-5545483
1030,R-HSA-5545619
1031,R-HSA-5576886
1032,R-HSA-5576890
1033,R-HSA-5576892
1034,R-HSA-5576893
1035,R-HSA-5576894
1036,R-HSA-5578749
1037,R-HSA-5578768
1038,R-HSA-5578775
1039,R-HSA-5578995
1040,R-HSA-5578996
1041,R-HSA-5578997
1042,R-HSA-5578998
1043,R-HSA-5578999
1044,R-HSA-5579000
1045,R-HSA-5579002
